meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.1732729852274133,0.06919423064372363,0.1484375,0.1328125,0.25,0.1171875,0.032978259395757714,1.8974661273981952,4.5558305,0.063709766,0.1328125,0.1732729852274133,0.09386531655604509,0.06540639132514965,0.15646466200170095,0.11101310483870967,0.0546875,0.2734375,0.21875,13.071428565453061,male
0.2043232620926574,0.07460327184005662,0.234375,0.15625,0.265625,0.109375,-1.165686485325177,3.3825128864154617,4.497542,0.029219631,0.2734375,0.2043232620926574,0.36859842054258657,0.06889654412432702,0.49674433811469765,0.24344544491525424,0.0546875,0.2734375,0.21875,24.285714274612243,male
0.2283387604024938,0.043732708836227166,0.2421875,0.1953125,0.265625,0.0703125,-1.204976373765362,4.636473989899057,3.9931445,0.0342476,0.2734375,0.2283387604024938,0.2841762566267287,0.14020166900511882,0.4105345162761952,0.2355078125,0.0546875,0.2734375,0.21875,19.071428562710203,male
0.17480487902275854,0.05628394425267272,0.15625,0.140625,0.2265625,0.0859375,0.45630979094576823,2.330566280530665,4.276207,0.030313658,0.140625,0.17480487902275854,0.14407595980966612,0.1145388367788287,0.18287233715141332,0.15405701754385964,0.0546875,0.2734375,0.21875,20.214285705044897,male
0.1810798732776675,0.06304826030576378,0.1953125,0.125,0.234375,0.109375,-0.24459242369596504,1.749047362395162,4.335334,0.037368454,0.1171875,0.1810798732776675,0.1230525335113944,0.09856656061031477,0.1610494265540188,0.18308423913043478,0.0546875,0.2734375,0.21875,19.78571427666939,male
0.15531859422708294,0.0662376235514448,0.1484375,0.1015625,0.2109375,0.109375,0.04967212286261341,1.954419022182949,4.9834003,0.07491149,0.1328125,0.15531859422708294,0.07719099434900144,0.06540639132514965,0.08193226047174862,0.11528445512820513,0.0546875,0.2734375,0.21875,18.71428570573061,male
0.19450202958159934,0.06097282124298914,0.203125,0.1328125,0.25,0.1171875,-0.23552008874533717,1.7212294330031468,4.361091,0.040139746,0.1328125,0.19450202958159934,0.1263590119910854,0.07644550209132854,0.17869552719837178,0.19772727272727272,0.0546875,0.2734375,0.21875,24.249999988914286,male
0.17758457383297355,0.06008044355646299,0.1953125,0.125,0.2265625,0.1015625,-0.3962442943257865,2.220317529141451,4.714969,0.043448947,0.2109375,0.17758457383297355,0.10592191756762409,0.0734161919793519,0.14514587018501834,0.1673650568181818,0.0546875,0.265625,0.2109375,26.62962961700521,male
0.16143407698200463,0.05135515596091913,0.1640625,0.140625,0.1796875,0.0390625,-0.2635371598382601,3.223909073259332,4.485852,0.06382095,0.171875,0.16143407698200463,0.15109719567349755,0.06540639132514965,0.21999999999999997,0.15157277960526316,0.0546875,0.2578125,0.203125,10.346153841060355,male
0.167537881620774,0.05046773948900492,0.15625,0.140625,0.1953125,0.0546875,0.2994804549527843,3.0159696532286597,4.4865804,0.036656808,0.140625,0.167537881620774,0.14629096883407153,0.07050692450564008,0.1818190699939266,0.15735085227272727,0.0546875,0.2734375,0.21875,20.714285704816326,male
0.1755511069498823,0.05985359751898633,0.1640625,0.125,0.234375,0.109375,0.06194848036798373,1.6475470363861904,4.597113,0.06490278,0.125,0.1755511069498823,0.12602989314254237,0.11857804013471404,0.1418307339283537,0.18051215277777777,0.0546875,0.2734375,0.21875,20.07142856225306,male
0.175637718989492,0.06112070263378792,0.171875,0.125,0.234375,0.109375,-0.12500464376659176,1.9561339585692592,4.6027355,0.02028999,0.1171875,0.175637718989492,0.12397092409972374,0.06849972922973525,0.18932131619375261,0.1719912574404762,0.0546875,0.2734375,0.21875,33.892857127363264,male
0.1560526445537107,0.05401867801175145,0.1484375,0.1328125,0.1796875,0.046875,0.303555153258943,3.0183366441271353,4.5490227,0.039867308,0.1484375,0.1560526445537107,0.15500866181356157,0.11127813843321147,0.21873289323986042,0.15585275423728814,0.0546875,0.2734375,0.21875,14.142857136391836,male
